date,nav,ret,funding_pnl,basis_pnl,cost
2021-01-02,1500000.0,0.0,0.0,0.0,0.0
2021-01-03,1500000.0,0.0,0.0,0.0,0.0
2021-01-04,1500000.0,0.0,0.0,0.0,0.0
2021-01-05,1500000.0,0.0,0.0,0.0,0.0
2021-01-06,1500000.0,0.0,0.0,0.0,0.0
2021-01-07,1500000.0,0.0,0.0,0.0,0.0
2021-01-08,1507090.9742972383,0.00472731619815882,6509.635037247397,2181.339259990833,1600.0
2021-01-09,1513103.9394849846,0.004008643458497549,4901.716885486548,1111.2483022597753,0.0
2021-01-10,1521937.9576820184,0.005889345464689179,11756.189658531232,-2922.1714614974626,0.0
2021-01-11,1527173.1876843506,0.0034901533348881677,4892.252131264491,342.97787106776013,0.0
2021-01-12,1534169.5018811652,0.004664209464543058,1687.0167526855168,5309.297444129072,0.0
2021-01-13,1534817.3024635413,0.0004318670549173876,1292.5989799838117,-644.7983976077303,0.0
2021-01-14,1537177.7065957387,0.0015736027547982934,2771.9775774787013,-411.57344528126123,0.0
2021-01-15,1537321.9202572335,9.614244099657905e-05,2888.0366300366295,-2743.822968541761,0.0
2021-01-16,1544221.220277126,0.004599533346594983,3551.835998271392,3347.464021621083,0.0
2021-01-17,1544543.3401404838,0.00021474657557180125,3504.954506866417,-3182.834643508715,0.0
2021-01-18,1550616.0874586713,0.004048498212125053,4179.509469893402,1893.2378482941776,0.0
2021-01-19,1554986.416086348,0.002913552418451185,8993.670329670329,-4623.341701993551,0.0
2021-01-20,1563522.7365264571,0.005690880293405962,5161.418188802459,3374.9022513064847,0.0
2021-01-21,1565466.1948067662,0.0012956388535395032,2615.6949076017613,-672.2366272925065,0.0
2021-01-22,1569845.9151859628,0.0029198135861309765,716.7167161926712,3663.003663003794,0.0
2021-01-23,1568069.5022798425,-0.001184275270746862,1090.8820960063658,-2867.295002126659,0.0
2021-01-24,1571884.2916146026,0.0025431928898400893,4171.48632067059,-356.69698591045653,0.0
2021-01-25,1576867.0246602462,0.0033218220304290728,4776.9463230028405,205.78672264076886,0.0
2021-01-26,1579764.3982405234,0.0019315823868515107,1374.551832736552,1522.8217475407146,0.0
2021-01-27,1579436.5511834107,-0.00021856470474177603,1057.7835420010701,-1385.6305991137342,0.0
2021-01-28,1584007.242858652,0.003047127783494232,1387.8570317323126,3182.8346435090352,0.0
2021-01-29,1589918.758611214,0.003941010501707999,7585.247763372708,-1673.7320108107087,0.0
2021-01-30,1591413.2898894236,0.0009963541854730678,3881.657260841531,-2387.125982631929,0.0
2021-01-31,1597385.0981302217,0.0039812054938653104,5697.425943943696,274.38229685426904,0.0
2021-02-01,1602332.741506359,0.003298428917424857,2560.517393505371,2387.1259826319147,0.0
2021-02-02,1605939.3756074137,0.002404422734036476,6364.17618443978,-2757.542083385066,0.0
2021-02-03,1613605.221267372,0.00511056377330546,9888.342264477096,-2222.4966045189067,0.0
2021-02-04,1627253.109799564,0.009098592354794722,9751.659916862163,3896.228615329921,0.0
2021-02-05,1638423.1566068511,0.007446697871524829,9756.977978488429,1413.068828798816,0.0
2021-02-06,1644809.3921611723,0.004257490369547365,8691.046847896174,-2304.811293575127,0.0
2021-02-07,1650141.0453389306,0.003554435451838799,6634.9690878160545,-1303.315910057856,0.0
2021-02-08,1660949.8889547407,0.007205895743873492,7392.784019975032,3416.059595835206,0.0
2021-02-09,1667155.4382434047,0.004137032859109365,13586.433074042061,-7380.883785378013,0.0
2021-02-10,1683915.5904562979,0.011173434808595426,11176.472471910114,5583.679740983025,0.0
2021-02-11,1690584.1391083947,0.004445699101397925,7615.16757624398,-946.6189241470929,0.0
2021-02-12,1696558.90334815,0.003983176159836795,7278.080149812735,-1303.315910057543,0.0
2021-02-13,1709993.2286173878,0.0089562168461585,12542.582804461455,891.7424647762964,0.0
2021-02-14,1720580.4965190492,0.007058178601107605,10271.728260279046,315.5396413823619,0.0
2021-02-15,1723031.7886127231,0.0016341947291159602,4317.091712282724,-1865.799618608784,0.0
2021-02-16,1733830.938527253,0.007199433276353308,8110.203405358685,2688.9465091712773,0.0
2021-02-17,1743959.245630462,0.00675220473547265,10553.599663332921,-425.29256012394626,0.0
2021-02-18,1760004.50661522,0.010696840656505458,13095.651293575338,2949.60969118285,0.0
2021-02-19,1767614.2379762935,0.005073154240715625,10408.430788986294,-2798.6994279128558,0.0
2021-02-20,1781721.3856509035,0.009404765116406621,15369.306240139384,-1262.1585655294512,0.0
2021-02-21,1789120.1517329987,0.004932510721396772,5313.460626003211,2085.305456091948,0.0
2021-02-22,1794122.9636757625,0.0033352079618425186,4234.541511572073,768.2704311917041,0.0
2021-02-23,1795592.2378105666,0.0009795160898693517,1126.2962637362637,342.9778710677638,0.0
2021-02-24,1795767.671526663,0.00011695581073102312,1766.8510378510377,-1591.417321754503,0.0
2021-02-25,1799011.7369822063,0.0021627103036955327,1625.2099041033873,1618.8555514399122,0.0
2021-02-26,1801285.8661948661,0.0015160861417731323,1272.633829142144,1001.4953835175547,0.0
2021-02-27,1802044.3438637143,0.000505651779232212,1787.411282051282,-1028.933613202964,0.0
2021-02-28,1803234.6032921758,0.0007935062856409665,600.3374902251309,589.921938236319,0.0
2021-03-01,1803775.29580785,0.00036046167711619923,1802.8510812034408,-1262.158565529142,0.0
2021-03-02,1806580.3764899643,0.0018700537880761892,2681.608648529997,123.47203358428669,0.0
2021-03-03,1811164.7960731776,0.0030562797221421983,2183.57448573898,2400.8450974743173,0.0
2021-03-04,1811184.4904140427,1.3129560576750918e-05,2077.56156727168,-2057.8672264065535,0.0
2021-03-05,1811671.6157409006,0.0003247502179053007,1214.2384135215596,-727.1130866636086,0.0
2021-03-06,1813968.8046976991,0.0015314593045322887,2557.852138810004,-260.6631820115708,0.0
2021-03-07,1817910.451861272,0.0026277647757153707,3324.2869956510403,617.3601679220155,0.0
